,practice_id,ccg_id,baseline,baseline_ranking,allocation,group_ab,cost_saving_measure
0,A83050,00J,0.1247536460386283,0.8787050359712231,I,B,ppi
1,A81025,00K,0.12841756420878211,0.8972661870503598,con,con,ppi
2,A81066,00K,0.11681087762669963,0.8345323741007195,I,A,ppi
3,A84034,00L,0.1140971239981141,0.8139568345323741,I,A,ppi
6,A81005,00M,0.11274298056155507,0.8064748201438849,con,con,ppi
7,A81015,00M,0.11548913043478261,0.8244604316546763,I,B,ppi
10,A81043,00M,0.11451876019575856,0.8175539568345324,con,con,ppi
4,A81053,00M,0.15371506475800956,0.9597122302158273,con,con,ppi
9,A81054,00M,0.11483967188665176,0.820863309352518,I,A,ppi
8,A81064,00M,0.11278648974668275,0.8069064748201439,con,con,ppi
5,A81611,00M,0.12467700258397933,0.8776978417266187,I,A,ppi
14,A89001,00P,0.12018401380103508,0.8526618705035971,I,B,ppi
18,A89005,00P,0.12103746397694524,0.8569784172661871,I,A,ppi
17,A89007,00P,0.1736086804340217,0.9838848920863309,con,con,ppi
11,A89010,00P,0.164021164021164,0.9733812949640288,con,con,ppi
19,A89015,00P,0.1162704309063893,0.8286330935251799,con,con,ppi
20,A89020,00P,0.12110481586402266,0.8572661870503597,I,B,ppi
15,A89026,00P,0.16164053075995174,0.9709352517985611,con,con,ppi
12,A89032,00P,0.1323283082077052,0.9096402877697841,I,A,ppi
13,A89036,00P,0.17509727626459143,0.9844604316546762,con,con,ppi
16,A89620,00P,0.1392136025504782,0.9302158273381295,I,B,ppi
21,P81707,00Q,0.12104981253347616,0.8571223021582733,I,B,ppi
23,P82030,00T,0.13366336633663367,0.9143884892086331,I,B,ppi
22,P82629,00T,0.17833333333333334,0.9863309352517986,con,con,ppi
24,P82643,00T,0.1126829268292683,0.8058992805755396,con,con,ppi
35,P81010,00X,0.1119942196531792,0.8017266187050359,con,con,ppi
29,P81033,00X,0.11466897446992644,0.8189928057553957,con,con,ppi
36,P81038,00X,0.11361545538178473,0.8119424460431655,I,B,ppi
32,P81044,00X,0.13132990204217168,0.9063309352517985,I,A,ppi
31,P81057,00X,0.12309442548350398,0.8694964028776978,con,con,ppi
28,P81082,00X,0.12955589586523736,0.900863309352518,I,B,ppi
25,P81083,00X,0.15952080706179067,0.9679136690647482,con,con,ppi
27,P81154,00X,0.11427579020493227,0.8158273381294964,con,con,ppi
34,P81687,00X,0.12613784135240572,0.8867625899280576,I,A,ppi
30,P81689,00X,0.15040650406504066,0.9556834532374101,I,B,ppi
26,P81701,00X,0.16387959866220736,0.9732374100719424,I,A,ppi
33,P81741,00X,0.11802232854864433,0.8424460431654677,con,con,ppi
41,P85006,00Y,0.11887515977844056,0.8470503597122302,I,B,ppi
37,P85007,00Y,0.14299610894941633,0.9405755395683453,I,A,ppi
39,P85016,00Y,0.11263348780979246,0.805611510791367,I,A,ppi
42,P85020,00Y,0.12289433384379786,0.8684892086330935,con,con,ppi
40,P85602,00Y,0.11958568738229755,0.8503597122302158,con,con,ppi
38,P85622,00Y,0.11249323958896701,0.8043165467625899,con,con,ppi
